Grade Level Range,Math Topic,Specific Objective,Written Story,Video,Lesson Plan,BWE Topic
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-sub-20"",""Subtract within 20"")","=HYPERLINK(""https://docs.google.com/document/d/1Ivoq7fEuvTjQDXJEzH8dfWb1hz9ImqZtJ1OiwUPmrPU/edit?usp=sharing"",""Reginah Collects Water"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://docs.google.com/document/d/1_VV_IZj8hRpxVUAfki_jwv2uEZiGXDlS1xctPDsJ7MA/edit?usp=sharing"",""Water & Gratitude"")","Water, Universe"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-sub-20"",""Subtract within 20"")","=HYPERLINK(""https://docs.google.com/document/d/1AfDho1yqe1yw4C_R8aAIeLJ5QrEuy8JL-13Zd0Kvyw0/edit?usp=sharing"",""Ibu's Busy Mornings"")",(COMING SOON),"=HYPERLINK(""https://docs.google.com/document/d/1l5wOlGESSvEbifmeKs8IF2oG-8bHInTyn-HaPYn6_sY/edit?usp=sharing"",""What's It Worth to You"")","Business, humanity"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-equal-sign"",""Equal sign"")","=HYPERLINK(""https://docs.google.com/document/d/1WkSPc92C_nDbhuTWNdKGR5Cun92HTxR308minrm7gKg/edit?usp=sharing"",""Reginah Journeys to School"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://docs.google.com/document/d/1r8MvpB3HRnRfgL7_aUdw4Ewrjpt2Ev54K1yZKiEG-j4/edit?usp=sharing"",""Sky High Dream"")",Education
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-equal-sign"",""Equal sign"")","=HYPERLINK(""https://docs.google.com/document/d/1s-5q5TfAj_OeiQjHzDL0a90q0NO_gEq9eZnF8TkeLdU/edit?usp=sharing"",""I am Pak Paryono"")","=HYPERLINK(""https://vimeo.com/186214215"",""I am Pak Paryono"")","=HYPERLINK(""https://docs.google.com/document/d/1cQrhI5uyZTK26Sfy2hNmq5qoe8CAb1mRS97NEaybV9g/edit?usp=sharing"",""Growing Goals"")",Business
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-equal-sign"",""Equal sign"")","=HYPERLINK(""https://docs.google.com/document/d/1-c-joYBGbyJX1YkbpgzPLUjbrNQjdLH43jg51-Z3eD0/edit?usp=sharing"",""I am Mike"")","=HYPERLINK(""https://vimeo.com/232195410"",""I am Mike"")","=HYPERLINK(""https://docs.google.com/document/d/1WP8TKxwVuIHUkqB7X-5PiTYDiTwWmWWF2vJMjO2fxKY/edit?usp=sharing"",""Sticking With It"")",Humanity
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-missing-number-within-20"",""Missing number within 20"")","=HYPERLINK(""https://drive.google.com/open?id=1Anr3LLA7Z-ryTzUXlhj9zfolSz0kxrUB_T78Sqtvb3o"",""Pak Paryono Runs a Business"")","=HYPERLINK(""https://vimeo.com/186214215"",""I am Pak Paryono"")","=HYPERLINK(""https://docs.google.com/document/d/1MDms41cQpONjGjCESUvj5hroWeAFYvB2Ht8LrsZkBcQ/edit?usp=sharing"",""Fair is Fair"")","Business, Humanity"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-missing-number-within-20"",""Missing number within 20"")","=HYPERLINK(""https://drive.google.com/open?id=1dftwA3r2auBSZc77AgItOjdrVCq1hX-j0cBFSBOFAZg"",""Pak Paryono Goes to a Meeting"")","=HYPERLINK(""https://vimeo.com/186214215"",""I am Pak Paryono"")","=HYPERLINK(""https://docs.google.com/document/d/1iHDkvJe67rf03svRA3z_kaf9IWVSRllFX3wS5NpXW1Q/edit?usp=sharing"",""Classroom Cooperative"")","Business, Humanity"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-missing-number-within-20"",""Missing number within 20"")","=HYPERLINK(""https://docs.google.com/document/d/16NWuZV1JhaW5xUqbst2gVX1ckT5TkWwgD6YIj-iZznQ/edit?usp=sharing"",""David Connects with Others"")","=HYPERLINK(""https://vimeo.com/185413649"",""I am David"")","=HYPERLINK(""https://docs.google.com/document/d/1G9I4jQ9_V5mejgVrKZ1yGZKFq5RAjPyMyNjFiAoUQ9A/edit?usp=sharing"",""Out of the Box"")","Humanity, teaching"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-word-problems-within-20"",""Word problems within 20"")","=HYPERLINK(""https://docs.google.com/document/d/1WQPpwDbOY2ehsbHuzq345yRmV1poT_hm1zFvnfEB-uU/edit?usp=sharing"",""I am Reginah"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://docs.google.com/document/d/1wbKAipDomCFJ_cJhxCDEID9ZyLIwX6cC9oOdwazx3XE/edit?usp=sharing"",""It's My Norm"")","Humanity, Universe"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-word-problems-within-20"",""Word problems within 20"")","=HYPERLINK(""https://drive.google.com/open?id=1Anr3LLA7Z-ryTzUXlhj9zfolSz0kxrUB_T78Sqtvb3o"",""Pak Paryono Runs a Business"")","=HYPERLINK(""https://vimeo.com/186214215"",""I am Pak Paryono"")","=HYPERLINK(""https://docs.google.com/document/d/1MDms41cQpONjGjCESUvj5hroWeAFYvB2Ht8LrsZkBcQ/edit?usp=sharing"",""Fair is Fair"")","Business, Humanity"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-word-problems-within-20"",""Word problems within 20"")","=HYPERLINK(""https://docs.google.com/document/d/16NWuZV1JhaW5xUqbst2gVX1ckT5TkWwgD6YIj-iZznQ/edit?usp=sharing"",""David Connects with Others"")","=HYPERLINK(""https://vimeo.com/185413649"",""I am David"")","=HYPERLINK(""https://docs.google.com/document/d/1G9I4jQ9_V5mejgVrKZ1yGZKFq5RAjPyMyNjFiAoUQ9A/edit?usp=sharing"",""Out of the Box"")","Humanity, teaching"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-word-problems-more-fewer-20"",""Word problems with """"more"""" and """"fewer"""""")","=HYPERLINK(""https://docs.google.com/document/d/1WQPpwDbOY2ehsbHuzq345yRmV1poT_hm1zFvnfEB-uU/edit?usp=sharing"",""I am Reginah"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://docs.google.com/document/d/1wbKAipDomCFJ_cJhxCDEID9ZyLIwX6cC9oOdwazx3XE/edit?usp=sharing"",""It's My Norm"")","Humanity, Universe"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-word-problems-more-fewer-20"",""Word problems with """"more"""" and """"fewer"""""")","=HYPERLINK(""https://drive.google.com/open?id=1dftwA3r2auBSZc77AgItOjdrVCq1hX-j0cBFSBOFAZg"",""Pak Paryono Goes to a Meeting"")","=HYPERLINK(""https://vimeo.com/186214215"",""I am Pak Paryono"")","=HYPERLINK(""https://docs.google.com/document/d/1iHDkvJe67rf03svRA3z_kaf9IWVSRllFX3wS5NpXW1Q/edit?usp=sharing"",""Classroom Cooperative"")","Business, Humanity"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-word-problems-more-fewer-20"",""Word problems with """"more"""" and """"fewer"""""")","=HYPERLINK(""https://docs.google.com/document/d/1-c-joYBGbyJX1YkbpgzPLUjbrNQjdLH43jg51-Z3eD0/edit?usp=sharing"",""I am Mike"")","=HYPERLINK(""https://vimeo.com/232195410"",""I am Mike"")","=HYPERLINK(""https://docs.google.com/document/d/1WP8TKxwVuIHUkqB7X-5PiTYDiTwWmWWF2vJMjO2fxKY/edit?usp=sharing"",""Sticking With It"")",Humanity
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-add-ones-tens"",""Adding 1s and 10s"")","=HYPERLINK(""https://docs.google.com/document/d/1Ivoq7fEuvTjQDXJEzH8dfWb1hz9ImqZtJ1OiwUPmrPU/edit?usp=sharing"",""Reginah Collects Water"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://docs.google.com/document/d/1_VV_IZj8hRpxVUAfki_jwv2uEZiGXDlS1xctPDsJ7MA/edit?usp=sharing"",""Water & Gratitude"")","Water, Universe"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-add-ones-tens"",""Adding 1s and 10s"")","=HYPERLINK(""https://docs.google.com/document/d/1yVaqUjz0HMDsl830ZZlbvwry4zR2PIrGkMR7AkEA2bg/edit?usp=sharing"",""Manjula is a Leader"")","=HYPERLINK(""https://vimeo.com/160262539"",""I am Manjula"")","=HYPERLINK(""https://docs.google.com/document/d/1t_QVuZhUbkcQ3S1di6Y6rrhMTpXfaa4EuppbMVKhyaE/edit?usp=sharing"",""Unofficial Leaders"")","Leadership, water"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-add-ones-tens"",""Adding 1s and 10s"")","=HYPERLINK(""https://docs.google.com/document/d/1BUzTlwstz9GWdELvd1zku2yT6ck85tzvaMdkRuyZJV0/edit?usp=sharing"",""Mike on Functional Footwear"")","=HYPERLINK(""https://vimeo.com/232195410"",""I am Mike"")","=HYPERLINK(""https://docs.google.com/document/d/12cWJe68yXpLnbdmIS28ogmLopYRWods13iivbTeaQOU/edit?usp=sharing"",""Functional footwear"")",Humanity
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-add-two-dig-intro"",""Intro to addition with 2-digit numbers"")","=HYPERLINK(""https://docs.google.com/document/d/1s-5q5TfAj_OeiQjHzDL0a90q0NO_gEq9eZnF8TkeLdU/edit?usp=sharing"",""I am Pak Paryono"")","=HYPERLINK(""https://vimeo.com/186214215"",""I am Pak Paryono"")","=HYPERLINK(""https://docs.google.com/document/d/1cQrhI5uyZTK26Sfy2hNmq5qoe8CAb1mRS97NEaybV9g/edit?usp=sharing"",""Growing Goals"")",Business
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-add-two-dig-intro"",""Intro to addition with 2-digit numbers"")","=HYPERLINK(""https://docs.google.com/document/d/1yVaqUjz0HMDsl830ZZlbvwry4zR2PIrGkMR7AkEA2bg/edit?usp=sharing"",""Manjula is a Leader"")","=HYPERLINK(""https://vimeo.com/160262539"",""I am Manjula"")","=HYPERLINK(""https://docs.google.com/document/d/1t_QVuZhUbkcQ3S1di6Y6rrhMTpXfaa4EuppbMVKhyaE/edit?usp=sharing"",""Unofficial Leaders"")","Leadership, water"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-add-two-dig-intro"",""Intro to addition with 2-digit numbers"")","=HYPERLINK(""https://docs.google.com/document/d/1-c-joYBGbyJX1YkbpgzPLUjbrNQjdLH43jg51-Z3eD0/edit?usp=sharing"",""I am Mike"")","=HYPERLINK(""https://vimeo.com/232195410"",""I am Mike"")","=HYPERLINK(""https://docs.google.com/document/d/1WP8TKxwVuIHUkqB7X-5PiTYDiTwWmWWF2vJMjO2fxKY/edit?usp=sharing"",""Sticking With It"")",Humanity
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data"",""Measurement and Data"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data#copy-of-cc-early-math-length-intro"",""Length and size"")","=HYPERLINK(""https://docs.google.com/document/d/1dulmlIztWDQRs-JXh8eWRoKLWvCKYJkmNJz9wPfStHQ/edit?usp=sharing"",""I am Manjula"")","=HYPERLINK(""https://vimeo.com/160262539"",""I am Manjula"")","=HYPERLINK(""https://docs.google.com/document/d/1S2h1Z1oEXKasfPjghcWLzVgfICnwfTaqFfwUruCfMBo/edit?usp=sharing"",""Thankful for Water"")","Water, health"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data"",""Measurement and Data"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data#copy-of-cc-early-math-length-intro"",""Length and size"")","=HYPERLINK(""https://drive.google.com/open?id=1dftwA3r2auBSZc77AgItOjdrVCq1hX-j0cBFSBOFAZg"",""Pak Paryono Goes to a Meeting"")","=HYPERLINK(""https://vimeo.com/186214215"",""I am Pak Paryono"")","=HYPERLINK(""https://docs.google.com/document/d/1iHDkvJe67rf03svRA3z_kaf9IWVSRllFX3wS5NpXW1Q/edit?usp=sharing"",""Classroom Cooperative"")","Business, Humanity"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data"",""Measurement and Data"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data#copy-of-cc-early-math-length-intro"",""Length and size"")","=HYPERLINK(""https://docs.google.com/document/d/1Zr1rdwfRkNEDbiySaO55_5pJ8HzJ8-V7902KSQPuXt4/edit?usp=sharing"",""I am Ibu"")",(COMING SOON),"=HYPERLINK(""https://docs.google.com/document/d/1juAmNQ6ip7YA2GSsFeqdQ4YOmKDBJd8LFDlBPawvoCI/edit?usp=sharing"",""Listen Up"")","Leadership, humanity"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data"",""Measurement and Data"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data#cc-1st-bar-graphs"",""Bar graphs"")","=HYPERLINK(""https://docs.google.com/document/d/1dulmlIztWDQRs-JXh8eWRoKLWvCKYJkmNJz9wPfStHQ/edit?usp=sharing"",""I am Manjula"")","=HYPERLINK(""https://vimeo.com/160262539"",""I am Manjula"")","=HYPERLINK(""https://docs.google.com/document/d/1S2h1Z1oEXKasfPjghcWLzVgfICnwfTaqFfwUruCfMBo/edit?usp=sharing"",""Thankful for Water"")","Water, health"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data"",""Measurement and Data"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data#cc-1st-bar-graphs"",""Bar graphs"")","=HYPERLINK(""https://docs.google.com/document/d/1yVaqUjz0HMDsl830ZZlbvwry4zR2PIrGkMR7AkEA2bg/edit?usp=sharing"",""Manjula is a Leader"")","=HYPERLINK(""https://vimeo.com/160262539"",""I am Manjula"")","=HYPERLINK(""https://docs.google.com/document/d/1t_QVuZhUbkcQ3S1di6Y6rrhMTpXfaa4EuppbMVKhyaE/edit?usp=sharing"",""Unofficial Leaders"")","Leadership, water"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data"",""Measurement and Data"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data#cc-1st-bar-graphs"",""Bar graphs"")","=HYPERLINK(""https://docs.google.com/document/d/1-c-joYBGbyJX1YkbpgzPLUjbrNQjdLH43jg51-Z3eD0/edit?usp=sharing"",""I am Mike"")","=HYPERLINK(""https://vimeo.com/232195410"",""I am Mike"")","=HYPERLINK(""https://docs.google.com/document/d/1WP8TKxwVuIHUkqB7X-5PiTYDiTwWmWWF2vJMjO2fxKY/edit?usp=sharing"",""Sticking With It"")",Humanity
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data"",""Measurement and Data"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data#cc-1st-time"",""Telling time"")","=HYPERLINK(""https://docs.google.com/document/d/1TpGK7AEDmN-IiExwrbj7b3V6HXgG9QjlSCACG12eA7A/edit?usp=sharing"",""I am David"")","=HYPERLINK(""https://vimeo.com/185413649"",""I am David"")","=HYPERLINK(""https://docs.google.com/document/d/1yeYNeefJ3vi8FKk8DqpbjLlCnKunWEUepcoIVKf-UE0/edit?usp=sharing"",""Just in Time"")","Universe, humanity"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data"",""Measurement and Data"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data#cc-1st-time"",""Telling time"")","=HYPERLINK(""https://drive.google.com/open?id=1dftwA3r2auBSZc77AgItOjdrVCq1hX-j0cBFSBOFAZg"",""Pak Paryono Goes to a Meeting"")","=HYPERLINK(""https://vimeo.com/186214215"",""I am Pak Paryono"")","=HYPERLINK(""https://docs.google.com/document/d/1iHDkvJe67rf03svRA3z_kaf9IWVSRllFX3wS5NpXW1Q/edit?usp=sharing"",""Classroom Cooperative"")","Bussiness, Humanity"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data"",""Measurement and Data"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-measurement-data#cc-1st-time"",""Telling time"")","=HYPERLINK(""https://docs.google.com/document/d/1AfDho1yqe1yw4C_R8aAIeLJ5QrEuy8JL-13Zd0Kvyw0/edit?usp=sharing"",""Ibu's Busy Mornings"")",(COMING SOON),"=HYPERLINK(""https://docs.google.com/document/d/1l5wOlGESSvEbifmeKs8IF2oG-8bHInTyn-HaPYn6_sY/edit?usp=sharing"",""What's It Worth to You"")","Business, Humanity"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-geometry"",""Geometry"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-geometry#cc-1st-shapes"",""Shapes"")","=HYPERLINK(""https://docs.google.com/document/d/1dulmlIztWDQRs-JXh8eWRoKLWvCKYJkmNJz9wPfStHQ/edit?usp=sharing"",""I am Manjula"")","=HYPERLINK(""https://vimeo.com/160262539"",""I am Manjula"")","=HYPERLINK(""https://docs.google.com/document/d/1S2h1Z1oEXKasfPjghcWLzVgfICnwfTaqFfwUruCfMBo/edit?usp=sharing"",""Thankful for Water"")","Water, health"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-geometry"",""Geometry"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-geometry#cc-1st-shapes"",""Shapes"")","=HYPERLINK(""https://docs.google.com/document/d/1WQPpwDbOY2ehsbHuzq345yRmV1poT_hm1zFvnfEB-uU/edit?usp=sharing"",""I am Reginah"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://docs.google.com/document/d/1wbKAipDomCFJ_cJhxCDEID9ZyLIwX6cC9oOdwazx3XE/edit?usp=sharing"",""It's My Norm"")","Humanity, Universe"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-geometry"",""Geometry"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-geometry#cc-1st-shapes"",""Shapes"")","=HYPERLINK(""https://docs.google.com/document/d/1Zr1rdwfRkNEDbiySaO55_5pJ8HzJ8-V7902KSQPuXt4/edit?usp=sharing"",""I am Ibu"")",(COMING SOON),"=HYPERLINK(""https://docs.google.com/document/d/1juAmNQ6ip7YA2GSsFeqdQ4YOmKDBJd8LFDlBPawvoCI/edit?usp=sharing"",""Listen Up"")","Leadership, humanity"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-geometry"",""Geometry"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-geometry#cc-1st-fractions-of-shapes"",""Fractions of shapes"")","=HYPERLINK(""https://docs.google.com/document/d/1WQPpwDbOY2ehsbHuzq345yRmV1poT_hm1zFvnfEB-uU/edit?usp=sharing"",""I am Reginah"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://docs.google.com/document/d/1wbKAipDomCFJ_cJhxCDEID9ZyLIwX6cC9oOdwazx3XE/edit?usp=sharing"",""It's My Norm"")","Humanity, Universe"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-geometry"",""Geometry"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-geometry#cc-1st-fractions-of-shapes"",""Fractions of shapes"")","=HYPERLINK(""https://docs.google.com/document/d/1s-5q5TfAj_OeiQjHzDL0a90q0NO_gEq9eZnF8TkeLdU/edit?usp=sharing"",""I am Pak Paryono"")","=HYPERLINK(""https://vimeo.com/186214215"",""I am Pak Paryono"")","=HYPERLINK(""https://docs.google.com/document/d/1cQrhI5uyZTK26Sfy2hNmq5qoe8CAb1mRS97NEaybV9g/edit?usp=sharing"",""Growing Goals"")",Business
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-geometry"",""Geometry"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-geometry#cc-1st-fractions-of-shapes"",""Fractions of shapes"")","=HYPERLINK(""https://docs.google.com/document/d/1xOIoJyl8tcG-0qJ4Cdr8L8zhI8MGTCP46paOW4dZZ-I/edit?usp=sharing"",""Mike the Innovator"")","=HYPERLINK(""https://vimeo.com/232195410"",""I am Mike"")","=HYPERLINK(""https://docs.google.com/document/d/1Pk5mXdEqUsEVm-tzd9tvbMeSKKgb0P7FGLrdPB8orJM/edit?usp=sharing"",""Innovators"")",Humanity
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-place-value"",""Place Value"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-place-value/cc-2nd-hundreds/e/hundreds--tens--and-ones"",""Hundreds"")","=HYPERLINK(""https://drive.google.com/open?id=159pSUJ5NMVPFosQMRkm5sseNVMvuE5lCayCl3269P6o"",""Latasha on Differences in Background"")","=HYPERLINK(""https://vimeo.com/165840557"",""I am Latasha"")","=HYPERLINK(""https://docs.google.com/document/d/1MhS6ZOBMIT-iJEB0FoMqvS8hHVmBW1BKW2M2Nbyjj00/edit?usp=sharing"",""Speaking of Home"")","Storytelling, Humanity"
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-place-value"",""Place Value"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-place-value/cc-2nd-hundreds/e/hundreds--tens--and-ones"",""Hundreds"")","=HYPERLINK(""https://drive.google.com/open?id=1J1KBZ9ebeqJIDwqUKkp59IbvFXWXA-bIT27uJC5F2aI"",""Alex's Family Role"")","=HYPERLINK(""https://vimeo.com/197634754"",""I am Alex"")","=HYPERLINK(""https://docs.google.com/document/d/1WUoCjN-bW-OQh_a5x4VTa52OrFPMYC9oCcPCzS-BdGw/edit?usp=sharing"",""Unexpected Teachers"")",Teaching
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-place-value"",""Place Value"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-place-value#cc-2nd-three-digit-compare"",""Comparing 3-digit numbers"")","=HYPERLINK(""https://drive.google.com/open?id=1XpsYpsJrYU6ydIMmxoybmMOf7zU_y5ZZsS93CMXjwFo"",""Ketut on Teamwork"")","=HYPERLINK(""https://vimeo.com/172273183"",""I am Ketut"")","=HYPERLINK(""https://docs.google.com/document/d/1Gak_XB410MBlHzkONQl56_-y8_MqitnckwI3GfKRU-U/edit?usp=sharing"",""Persistent Cashews"")",Food
1st - 3rd ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-place-value"",""Place Value"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-2nd-grade-math/cc-2nd-place-value#cc-2nd-three-digit-compare"",""Comparing 3-digit numbers"")","=HYPERLINK(""https://drive.google.com/open?id=1ec_FNhZLOnDzqP5ep8BXh_atgbqqNMOphZ3GGhOJx5c"",""I am Ashraf"")","=HYPERLINK(""https://vimeo.com/146816901"",""I am Ashraf"")","=HYPERLINK(""https://docs.google.com/document/d/1sVyk86c9l6Bo-pngTawOSFFCl8IYaQ3o8cADovlG2sE/edit?usp=sharing"",""Jobs Jobs Jobs"")","Health, Money"
