Grade Level Range,Math Topic,Specific Objective,Written Story,Video,Lesson Plan,BWE Topic
3rd - 5th,"=HYPERLINK(""https://www.khanacademy.org/math/cc-fourth-grade-math/cc-4th-place-value-rounding"",""Place value and rounding"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-fourth-grade-math/cc-4th-place-value-rounding#cc-4th-10-relates-to-place-value"",""How 10 relates to place value"")","=HYPERLINK(""https://docs.google.com/document/d/1TvCntQ0ef4ZI00o5Rjxyud82mJ7lk8yYPDtj8K3NAK4/edit?usp=sharing"",""Maria C on Change"")","=HYPERLINK(""https://vimeo.com/165848639"",""I am Maria C"")","=HYPERLINK(""https://docs.google.com/document/d/1ML7pZb8tBMQXvrYPIpIXu11537zPEvsG0-31CsItxL8/edit?usp=sharing"",""Newcomers"")","Leadership, Storytelling"
3rd - 5th,Place value and rounding,How 10 relates to place value,"=HYPERLINK(""https://docs.google.com/document/d/1NHUJn81IZAsML2tsOus6IkTglkTmIswpoPAyrCr9_Rk/edit?usp=sharing"",""Another Year of Life"")","=HYPERLINK(""https://vimeo.com/165844648"",""I am Divine"")","=HYPERLINK(""https://docs.google.com/document/d/1KN4O6kwa6Y5CK7F-1_IB2G1_SMHFovY7hIuOkIl7lTM/edit?usp=sharing"",""Superpowers"")","Storytelling, Leadership"
3rd - 5th,"=HYPERLINK(""https://www.khanacademy.org/math/cc-fourth-grade-math/cc-4th-place-value-rounding"",""Place value and rounding"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-fourth-grade-math/cc-4th-place-value-rounding#cc-4th-num-forms"",""Ways to write numbers (expanded form and written form)"")","=HYPERLINK(""https://docs.google.com/document/d/1TvCntQ0ef4ZI00o5Rjxyud82mJ7lk8yYPDtj8K3NAK4/edit?usp=sharing"",""Maria C on Change"")","=HYPERLINK(""https://vimeo.com/165848639"",""I am Maria C"")","=HYPERLINK(""https://docs.google.com/document/d/1ML7pZb8tBMQXvrYPIpIXu11537zPEvsG0-31CsItxL8/edit?usp=sharing"",""Newcomers"")","Leadership, Storytelling"
3rd - 5th,"=HYPERLINK(""https://www.khanacademy.org/math/cc-fourth-grade-math/cc-4th-place-value-rounding"",""Place value and rounding"")",Ways to write numbers (expanded form and written form),"=HYPERLINK(""https://docs.google.com/document/d/1YmBprdtQ84qolXno8AObUcSjl8bt_PQ0RuF2WJobJ2U/edit?usp=sharing"",""I am Manasi"")","=HYPERLINK(""https://vimeo.com/146828879"",""I am Manasi"")","=HYPERLINK(""https://docs.google.com/document/d/1FfOBCouZFRC9UW-BOCx28T38-DuxDRAKODU88Uepsgs/edit?usp=sharing"",""Educational Design"")","Education, Money"
3rd - 5th,"=HYPERLINK(""https://www.khanacademy.org/math/cc-fourth-grade-math/cc-4th-place-value-rounding"",""Place value and rounding"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-fourth-grade-math/cc-4th-place-value-rounding#cc-4th-comparing-multi-digit-numbers"",""Comparing multi-digit numbers"")","=HYPERLINK(""https://docs.google.com/document/d/1XVgVXLdmGUXjbpRKFSejkPz4pxeoupiWzRFkHsN7hxU/edit?usp=sharing"",""David Connects with Others"")","=HYPERLINK(""https://vimeo.com/185413649"",""I am David"")","=HYPERLINK(""https://docs.google.com/document/d/17R8qmVCH9uV7nvp_uk5Q2x0jlIBSFJEWGeclatu3S7w/edit?usp=sharing"",""Out of the Box"")","Humanity, education"
3rd - 5th,"=HYPERLINK(""https://www.khanacademy.org/math/cc-fourth-grade-math/cc-4th-place-value-rounding"",""Place value and rounding"")",Comparing multi-digit numbers,"=HYPERLINK(""https://docs.google.com/document/d/1xQZSqLfxITQM7PZDBiJv_tCQB5fuHmXJhhgFVU046vg/edit?usp=sharing"",""Maria C on Dreams and Future"")","=HYPERLINK(""https://vimeo.com/165848639"",""I am Maria C"")","=HYPERLINK(""https://docs.google.com/document/d/1jLuvQwdZabYwHKfNuDXSzTtIPGvf5WIGVXzXIJlG99s/edit?usp=sharing"",""Envisioning"")","Money, Education, Storytelling"
3rd - 5th,"=HYPERLINK(""https://www.khanacademy.org/math/cc-fourth-grade-math/cc-4th-place-value-rounding"",""Place value and rounding"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-fourth-grade-math/cc-4th-place-value-rounding#cc-4th-rounding"",""Rounding whole numbers"")","=HYPERLINK(""https://docs.google.com/document/d/1XVgVXLdmGUXjbpRKFSejkPz4pxeoupiWzRFkHsN7hxU/edit?usp=sharing"",""David Connects with Others"")","=HYPERLINK(""https://vimeo.com/185413649"",""I am David"")","=HYPERLINK(""https://docs.google.com/document/d/17R8qmVCH9uV7nvp_uk5Q2x0jlIBSFJEWGeclatu3S7w/edit?usp=sharing"",""Out of the Box"")","Humanity, education"
3rd - 5th,"=HYPERLINK(""https://www.khanacademy.org/math/cc-fourth-grade-math/cc-4th-place-value-rounding"",""Place value and rounding"")",Rounding whole numbers,"=HYPERLINK(""https://docs.google.com/document/d/1TvCntQ0ef4ZI00o5Rjxyud82mJ7lk8yYPDtj8K3NAK4/edit?usp=sharing"",""Maria C on Change"")","=HYPERLINK(""https://vimeo.com/165848639"",""I am Maria C"")","=HYPERLINK(""https://docs.google.com/document/d/1ML7pZb8tBMQXvrYPIpIXu11537zPEvsG0-31CsItxL8/edit?usp=sharing"",""Newcomers"")","Leadership, Storytelling"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value"",""Place Value"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value/cc-1st-numbers-120/v/number-grid"",""Numbers 0-120"")","=HYPERLINK(""https://docs.google.com/document/d/1WkSPc92C_nDbhuTWNdKGR5Cun92HTxR308minrm7gKg/edit?usp=sharing"",""Reginah Journeys to School"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://docs.google.com/document/d/1r8MvpB3HRnRfgL7_aUdw4Ewrjpt2Ev54K1yZKiEG-j4/edit?usp=sharing"",""Sky High Dream"")",Education
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value"",""Place Value"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value/cc-1st-numbers-120/v/number-grid"",""Numbers 0-120"")","=HYPERLINK(""https://docs.google.com/document/d/1Ivoq7fEuvTjQDXJEzH8dfWb1hz9ImqZtJ1OiwUPmrPU/edit?usp=sharing"",""Reginah Collects Water"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://docs.google.com/document/d/1_VV_IZj8hRpxVUAfki_jwv2uEZiGXDlS1xctPDsJ7MA/edit?usp=sharing"",""Water & Gratitude"")","Water, Universe"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value"",""Place Value"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value/cc-1st-numbers-120/v/number-grid"",""Numbers 0-120"")","=HYPERLINK(""https://docs.google.com/document/d/1BUzTlwstz9GWdELvd1zku2yT6ck85tzvaMdkRuyZJV0/edit?usp=sharing"",""Mike on Functional Footwear"")","=HYPERLINK(""https://vimeo.com/232195410"",""I am Mike"")","=HYPERLINK(""https://docs.google.com/document/d/12cWJe68yXpLnbdmIS28ogmLopYRWods13iivbTeaQOU/edit?usp=sharing"",""Functional footwear"")",business
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value"",""Place Value"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value/cc-1st-ones-tens/v/place-value-introduction"",""Ones and tens"")","=HYPERLINK(""https://docs.google.com/document/d/1TpGK7AEDmN-IiExwrbj7b3V6HXgG9QjlSCACG12eA7A/edit?usp=sharing"",""I am David"")","=HYPERLINK(""https://vimeo.com/185413649"",""I am David"")","=HYPERLINK(""https://docs.google.com/document/d/1yeYNeefJ3vi8FKk8DqpbjLlCnKunWEUepcoIVKf-UE0/edit?usp=sharing"",""Just in Time"")","Universe, humanity"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value"",""Place Value"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value/cc-1st-ones-tens/v/place-value-introduction"",""Ones and tens"")","=HYPERLINK(""https://docs.google.com/document/d/1WkSPc92C_nDbhuTWNdKGR5Cun92HTxR308minrm7gKg/edit?usp=sharing"",""Reginah Journeys to School"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://docs.google.com/document/d/1r8MvpB3HRnRfgL7_aUdw4Ewrjpt2Ev54K1yZKiEG-j4/edit?usp=sharing"",""Sky High Dream"")",Education
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value"",""Place Value"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value/cc-1st-ones-tens/v/place-value-introduction"",""Ones and tens"")","=HYPERLINK(""https://docs.google.com/document/d/1xOIoJyl8tcG-0qJ4Cdr8L8zhI8MGTCP46paOW4dZZ-I/edit?usp=sharing"",""Mike the Innovator"")","=HYPERLINK(""https://vimeo.com/232195410"",""I am Mike"")","=HYPERLINK(""https://docs.google.com/document/d/1Pk5mXdEqUsEVm-tzd9tvbMeSKKgb0P7FGLrdPB8orJM/edit?usp=sharing"",""Innovators"")",Humanity
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value"",""Place Value"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value/cc-1st-two-digit-compare/v/greater-than-and-less-than-symbols"",""Comparing 2-digit numbers"")","=HYPERLINK(""https://docs.google.com/document/d/1TpGK7AEDmN-IiExwrbj7b3V6HXgG9QjlSCACG12eA7A/edit?usp=sharing"",""I am David"")","=HYPERLINK(""https://vimeo.com/185413649"",""I am David"")","=HYPERLINK(""https://docs.google.com/document/d/1yeYNeefJ3vi8FKk8DqpbjLlCnKunWEUepcoIVKf-UE0/edit?usp=sharing"",""Just in Time"")","Universe, humanity"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value"",""Place Value"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value/cc-1st-two-digit-compare/v/greater-than-and-less-than-symbols"",""Comparing 2-digit numbers"")","=HYPERLINK(""https://drive.google.com/open?id=1Anr3LLA7Z-ryTzUXlhj9zfolSz0kxrUB_T78Sqtvb3o"",""Pak Paryono Runs a Business"")","=HYPERLINK(""https://vimeo.com/186214215"",""I am Pak Paryono"")","=HYPERLINK(""https://docs.google.com/document/d/1MDms41cQpONjGjCESUvj5hroWeAFYvB2Ht8LrsZkBcQ/edit?usp=sharing"",""Fair is Fair"")","Business, Humanity"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value"",""Place Value"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-place-value/cc-1st-two-digit-compare/v/greater-than-and-less-than-symbols"",""Comparing 2-digit numbers"")","=HYPERLINK(""https://docs.google.com/document/d/1BUzTlwstz9GWdELvd1zku2yT6ck85tzvaMdkRuyZJV0/edit?usp=sharing"",""Mike on Functional Footwear"")","=HYPERLINK(""https://vimeo.com/232195410"",""I am Mike"")","=HYPERLINK(""https://docs.google.com/document/d/12cWJe68yXpLnbdmIS28ogmLopYRWods13iivbTeaQOU/edit?usp=sharing"",""Functional footwear"")",business
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract/cc-1st-add-subtract-10/v/relating-addition-and-subtraction"",""Relate addition and subtraction"")","=HYPERLINK(""https://docs.google.com/document/d/1ufWa6SXZ2tJoIe6cRl4MHvl1W1wDAFoujUbhaL2HUJw/edit?usp=sharing"",""David Learns and Teaches"")","=HYPERLINK(""https://vimeo.com/185413649"",""I am David"")","=HYPERLINK(""https://docs.google.com/document/d/1q-_auRa42yTjMzzqfQlkQorHVgp7GVvNvE3F0hFAEpU/edit?usp=sharing"",""Learning by Teaching"")","Teaching, education"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract/cc-1st-add-subtract-10/v/relating-addition-and-subtraction"",""Relate addition and subtraction"")","=HYPERLINK(""https://docs.google.com/document/d/1Ivoq7fEuvTjQDXJEzH8dfWb1hz9ImqZtJ1OiwUPmrPU/edit?usp=sharing"",""Reginah Collects Water"")","=HYPERLINK(""https://vimeo.com/197634191"",""I am Reginah"")","=HYPERLINK(""https://docs.google.com/document/d/1_VV_IZj8hRpxVUAfki_jwv2uEZiGXDlS1xctPDsJ7MA/edit?usp=sharing"",""Water & Gratitude"")","Water, Universe"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract/cc-1st-add-subtract-10/v/relating-addition-and-subtraction"",""Relate addition and subtraction"")","=HYPERLINK(""https://docs.google.com/document/d/1xOIoJyl8tcG-0qJ4Cdr8L8zhI8MGTCP46paOW4dZZ-I/edit?usp=sharing"",""Mike the Innovator"")","=HYPERLINK(""https://vimeo.com/232195410"",""I am Mike"")","=HYPERLINK(""https://docs.google.com/document/d/1Pk5mXdEqUsEVm-tzd9tvbMeSKKgb0P7FGLrdPB8orJM/edit?usp=sharing"",""Innovators"")",Humanity
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract/cc-1st-add-20/v/adding-within-20"",""Addition within 20"")","=HYPERLINK(""https://docs.google.com/document/d/1ufWa6SXZ2tJoIe6cRl4MHvl1W1wDAFoujUbhaL2HUJw/edit?usp=sharing"",""David Learns and Teaches"")","=HYPERLINK(""https://vimeo.com/185413649"",""I am David"")","=HYPERLINK(""https://docs.google.com/document/d/1q-_auRa42yTjMzzqfQlkQorHVgp7GVvNvE3F0hFAEpU/edit?usp=sharing"",""Learning by Teaching"")","Teaching, education"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract/cc-1st-add-20/v/adding-within-20"",""Addition within 20"")","=HYPERLINK(""https://docs.google.com/document/d/1yVaqUjz0HMDsl830ZZlbvwry4zR2PIrGkMR7AkEA2bg/edit?usp=sharing"",""Manjula is a Leader"")","=HYPERLINK(""https://vimeo.com/160262539"",""I am Manjula"")","=HYPERLINK(""https://docs.google.com/document/d/1t_QVuZhUbkcQ3S1di6Y6rrhMTpXfaa4EuppbMVKhyaE/edit?usp=sharing"",""Unofficial Leaders"")","Leadership, water"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract/cc-1st-add-20/v/adding-within-20"",""Addition within 20"")","=HYPERLINK(""https://docs.google.com/document/d/1AfDho1yqe1yw4C_R8aAIeLJ5QrEuy8JL-13Zd0Kvyw0/edit?usp=sharing"",""Ibu's Busy Mornings"")",(COMING SOON),"=HYPERLINK(""https://docs.google.com/document/d/1l5wOlGESSvEbifmeKs8IF2oG-8bHInTyn-HaPYn6_sY/edit?usp=sharing"",""What's It Worth to You"")","Business, humanity"
1st ,"=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract"",""Addition and Subtraction"")","=HYPERLINK(""https://www.khanacademy.org/math/cc-1st-grade-math/cc-1st-add-subtract#cc-1st-sub-20"",""Subtract within 20"")","=HYPERLINK(""https://docs.google.com/document/d/1ufWa6SXZ2tJoIe6cRl4MHvl1W1wDAFoujUbhaL2HUJw/edit?usp=sharing"",""David Learns and Teaches"")","=HYPERLINK(""https://vimeo.com/185413649"",""I am David"")","=HYPERLINK(""https://docs.google.com/document/d/1q-_auRa42yTjMzzqfQlkQorHVgp7GVvNvE3F0hFAEpU/edit?usp=sharing"",""Learning by Teaching"")","Teaching, education"
